Latitude, Longitude, Depth (km), Magnitude, Origin-time (UTC)
-43.5515, 170.56, 14.0007, 0.0, 2008-12-12T22:27:22.458600Z
-43.7787, 169.734, 10.9988, 0.0, 2008-12-13T08:03:12.517500Z
-42.7954, 171.271, 1.57539, 0.0, 2008-12-13T17:16:01.425150Z
-43.2628, 171.224, 13.1415, 0.0, 2008-12-13T20:13:10.051800Z
-43.6489, 170.59, 11.1368, 0.0, 2008-12-14T05:30:41.343700Z
-43.4107, 170.714, 13.8765, 0.0, 2008-12-14T06:23:21.777300Z
-43.2286, 170.878, 7.99854, 0.0, 2008-12-14T11:24:29.846100Z
-43.2236, 170.886, 13.0001, 0.0, 2008-12-14T11:31:31.814800Z
-42.7733, 171.293, 7.662109999999999, 0.0, 2008-12-14T16:12:42.993100Z
-42.796, 171.271, 1.40632, 0.0, 2008-12-16T09:16:53.427200Z
-42.8049, 171.253, 1.02331, 0.0, 2008-12-16T09:23:03.381380Z
-43.5158, 170.255, 2.99873, 0.0, 2008-12-16T10:47:53.914700Z
-42.7874, 171.302, 5.5987, 0.0, 2008-12-16T21:15:42.667600Z
-43.5369, 170.258, 5.398569999999999, 0.0, 2008-12-17T05:39:03.679430Z
-43.5832, 169.697, 17.2822, 0.0, 2008-12-17T08:21:27.277000Z
-43.0756, 171.097, 4.50488, 0.0, 2008-12-18T13:04:07.845330Z
-42.7968, 171.268, 1.91699, 0.0, 2008-12-19T05:42:39.523700Z
-43.4821, 170.325, 3.00046, 0.0, 2008-12-19T14:53:37.168100Z
-43.0884, 170.968, 6.99961, 0.0, 2008-12-20T12:52:59.686500Z
-43.3103, 170.776, 11.6785, 0.0, 2008-12-21T04:10:08.449460Z
-43.3023, 170.777, 9.625459999999999, 0.0, 2008-12-21T04:10:08.782870Z
-43.1753, 170.846, 8.97676, 0.0, 2008-12-21T11:20:54.496600Z
-42.7955, 171.271, 1.9998, 0.0, 2008-12-22T11:38:22.518400Z
-43.5776, 170.616, 8.31426, 0.0, 2008-12-23T01:36:47.802100Z
-43.1069, 171.079, 2.00326, 0.0, 2008-12-23T05:10:21.964400Z
-43.0447, 171.097, 6.99961, 0.0, 2008-12-23T08:47:01.235160Z
-43.1967, 170.903, 13.704, 0.0, 2008-12-23T12:17:06.518290Z
-43.0463, 171.014, 15.0048, 0.0, 2008-12-23T15:10:24.750700Z
-42.9677, 171.385, 7.13073, 0.0, 2008-12-23T16:47:00.986020Z
-43.1741, 170.861, 10.0016, 0.0, 2008-12-23T19:32:10.387300Z
-43.0437, 171.412, 12.779200000000001, 0.0, 2008-12-24T17:46:30.042900Z
-42.8442, 170.906, 10.2569, 0.0, 2008-12-25T05:06:21.745000Z
-43.7219, 170.739, 6.97891, 0.0, 2008-12-25T07:42:54.391700Z
-43.5377, 170.351, 6.96165, 0.0, 2008-12-25T09:54:23.446900Z
-43.2194, 171.248, 12.4169, 0.0, 2008-12-25T13:38:58.324200Z
-43.1471, 170.947, 13.9973, 0.0, 2008-12-25T13:52:21.212400Z
-43.7901, 170.102, 20.0012, 0.0, 2008-12-26T15:04:19.717600Z
-42.9688, 171.412, 8.00026, 0.0, 2008-12-26T23:24:37.771000Z
-43.1847, 170.834, 9.08027, 0.0, 2008-12-27T10:26:47.030100Z
-43.1944, 170.904, 13.414100000000001, 0.0, 2008-12-28T14:48:12.617700Z
-42.9887, 171.483, 13.9973, 0.0, 2008-12-29T05:01:28.762100Z
-42.7016, 171.251, 12.134, 0.0, 2008-12-29T21:18:00.858528Z
-43.3829, 170.949, 10.9988, 0.0, 2008-12-30T12:03:52.815300Z
-43.5279, 170.334, 7.596550000000001, 0.0, 2008-12-30T13:24:36.115600Z
-43.0651, 171.009, 8.00026, 0.0, 2008-12-30T13:57:56.743300Z
-43.5405, 170.589, 14.0007, 0.0, 2008-12-30T22:46:42.829600Z
-43.0385, 171.418, 9.99811, 0.0, 2009-01-01T03:56:54.113100Z
-43.1743, 171.138, 1.00951, 0.0, 2009-01-02T04:11:07.685940Z
-43.3225, 171.4, 14.784, 0.0, 2009-01-02T20:01:06.214450Z
-42.9907, 171.489, 12.1478, 0.0, 2009-01-02T22:07:20.359300Z
-42.8754, 171.353, 0.005403649999999999, 0.0, 2009-01-03T11:38:15.236100Z
-42.9836, 171.491, 13.9283, 0.0, 2009-01-04T00:31:22.106700Z
-43.2073, 171.271, 1.0026, 0.0, 2009-01-04T06:54:52.202400Z
-42.9505, 171.009, 15.639700000000001, 0.0, 2009-01-04T16:20:52.584600Z
-43.1256, 170.945, 15.0048, 0.0, 2009-01-04T19:03:12.489800Z
-43.1245, 171.196, 15.9986, 0.0, 2009-01-05T02:56:13.924300Z
-42.8657, 171.663, 14.018, 0.0, 2009-01-05T07:12:51.196500Z
-43.2092, 171.515, 12.9966, 0.0, 2009-01-06T08:22:13.457300Z
-43.1977, 170.895, 7.42057, 0.0, 2009-01-06T11:08:22.091700Z
-42.9785, 171.446, 1.0026, 0.0, 2009-01-07T05:20:17.712100Z
-43.1765, 170.819, 6.93405, 0.0, 2009-01-07T05:21:17.847100Z
-43.3059, 170.512, 13.0001, 0.0, 2009-01-08T00:02:35.901600Z
-43.1591, 170.652, 13.0001, 0.0, 2009-01-08T02:43:37.436200Z
-43.488, 169.948, 4.00456, 0.0, 2009-01-08T07:09:48.397400Z
-43.3846, 170.764, 12.6585, 0.0, 2009-01-08T13:53:59.004300Z
-43.4514, 170.953, 11.071200000000001, 0.0, 2009-01-08T17:47:42.820600Z
-43.2255, 170.53, 3.00046, 0.0, 2009-01-09T05:00:11.851700Z
-42.7328, 171.951, 9.83594, 0.0, 2009-01-10T06:13:38.522900Z
-43.5648, 170.529, 14.0007, 0.0, 2009-01-10T11:08:29.213600Z
-43.2378, 170.876, 13.559, 0.0, 2009-01-10T18:52:11.308200Z
-43.4235, 170.327, 9.00091, 0.0, 2009-01-11T09:26:19.454000Z
-43.8563, 170.392, 7.165229999999999, 0.0, 2009-01-11T14:28:50.339200Z
-42.9701, 171.449, 11.644, 0.0, 2009-01-13T11:59:25.883300Z
-43.0348, 171.036, 10.1603, 0.0, 2009-01-13T13:39:49.556200Z
-43.1899, 171.53, 13.2727, 0.0, 2009-01-14T10:55:29.968800Z
-42.7629, 171.29, 7.99336, 0.0, 2009-01-14T11:11:57.648900Z
-43.1658, 171.068, 16.999200000000002, 0.0, 2009-01-14T16:43:25.188200Z
-43.0023, 171.491, 1.00951, 0.0, 2009-01-14T17:44:16.921700Z
-43.0376, 171.436, 9.99811, 0.0, 2009-01-14T17:44:43.476700Z
-42.9974, 171.452, 1.00951, 0.0, 2009-01-15T08:08:12.690300Z
-43.0195, 171.506, 1.0026, 0.0, 2009-01-15T08:16:34.962800Z
-42.8418, 171.532, 7.73112, 0.0, 2009-01-15T09:55:09.712270Z
-43.8621, 170.466, 8.00026, 0.0, 2009-01-15T10:38:05.239080Z
-43.4246, 171.16, 20.0046, 0.0, 2009-01-15T20:18:47.300300Z
-42.9631, 171.174, 6.99961, 0.0, 2009-01-16T05:25:08.913360Z
-43.4181, 170.609, 24.5697, 0.0, 2009-01-16T09:54:40.855200Z
-43.5107, 170.22, 6.99961, 0.0, 2009-01-16T15:14:20.221000Z
-43.017, 171.27, 7.40332, 0.0, 2009-01-16T17:54:21.313900Z
-42.9758, 171.472, 11.996, 0.0, 2009-01-16T22:36:05.870640Z
-42.9898, 171.466, 14.991, 0.0, 2009-01-17T06:48:10.813900Z
-43.4085, 170.086, 12.075299999999999, 0.0, 2009-01-17T07:03:35.662300Z
-43.2239, 170.766, 0.00195312, 0.0, 2009-01-17T08:16:16.017700Z
-43.0575, 171.389, 13.0001, 0.0, 2009-01-17T13:18:33.060800Z
-42.9536, 171.356, 8.00026, 0.0, 2009-01-17T23:31:47.304600Z
-43.2009, 170.872, 8.00371, 0.0, 2009-01-18T08:13:59.622100Z
-42.9359, 171.355, 0.795573, 0.0, 2009-01-18T18:50:08.200360Z
-43.1912, 171.44, 13.0863, 0.0, 2009-01-19T14:58:18.226500Z
-43.1246, 170.699, 12.4549, 0.0, 2009-01-20T00:19:55.368900Z
-43.4817, 171.116, 22.9962, 0.0, 2009-01-20T04:10:17.946600Z
-43.0942, 170.791, 12.9069, 0.0, 2009-01-21T10:09:37.747300Z
-43.1612, 170.873, 7.0030600000000005, 0.0, 2009-01-21T12:20:54.049700Z
-43.2562, 170.835, 15.0014, 0.0, 2009-01-21T22:05:59.132500Z
-43.2571, 171.086, 18.8556, 0.0, 2009-01-22T04:32:50.591300Z
-42.9452, 171.376, 14.991, 0.0, 2009-01-23T10:11:28.941000Z
-43.1486, 170.941, 6.51654, 0.0, 2009-01-24T00:17:08.601090Z
-43.0702, 171.048, 15.563799999999999, 0.0, 2009-01-24T13:42:10.499300Z
-43.1047, 171.302, 3.2523400000000002, 0.0, 2009-01-25T01:39:14.154800Z
-43.0424, 171.048, 9.00091, 0.0, 2009-01-25T04:02:45.750000Z
-43.2156, 171.057, 17.0027, 0.0, 2009-01-25T07:11:02.628280Z
-43.0686, 171.097, 4.57562, 0.0, 2009-01-25T15:42:45.090800Z
-43.1578, 171.35, 10.9194, 0.0, 2009-01-26T04:14:54.413000Z
-43.1651, 171.513, 11.478399999999999, 0.0, 2009-01-26T17:48:05.462170Z
-43.5095, 170.29, 3.00391, 0.0, 2009-01-27T01:15:46.039100Z
-43.4552, 170.627, 14.0283, 0.0, 2009-01-27T12:33:15.081600Z
-43.0352, 171.478, 1.00951, 0.0, 2009-01-28T23:08:14.140500Z
-43.1843, 170.847, 10.3397, 0.0, 2009-01-31T13:39:40.272400Z
-43.4637, 170.54, 1.9963499999999998, 0.0, 2009-02-01T03:06:50.075900Z
-42.9767, 171.191, 5.436520000000001, 0.0, 2009-02-01T13:29:49.825700Z
-43.3582, 170.731, 11.5957, 0.0, 2009-02-01T13:49:10.466300Z
-43.5123, 170.498, 15.0014, 0.0, 2009-02-01T15:03:02.447030Z
-42.9339, 171.391, 0.995703, 0.0, 2009-02-02T00:45:15.572000Z
-43.1525, 171.02, 3.2212899999999998, 0.0, 2009-02-02T01:05:53.254100Z
-43.1462, 170.596, 12.203, 0.0, 2009-02-02T02:25:53.760000Z
-42.988, 171.186, 6.99961, 0.0, 2009-02-02T10:51:17.419500Z
-43.546, 170.559, 14.0007, 0.0, 2009-02-02T15:19:09.214120Z
-43.0491, 171.052, 10.0154, 0.0, 2009-02-03T00:19:40.027500Z
-43.0238, 171.498, 1.0026, 0.0, 2009-02-03T22:22:53.614700Z
-43.2475, 170.82, 6.4475299999999995, 0.0, 2009-02-03T23:51:17.769000Z
-43.1918, 170.992, 5.73327, 0.0, 2009-02-04T06:18:40.263600Z
-43.9747, 170.408, 20.0012, 0.0, 2009-02-04T07:36:59.738500Z
-43.0824, 170.981, 10.0085, 0.0, 2009-02-04T18:36:21.800800Z
-43.7143, 170.583, 5.13978, 0.0, 2009-02-05T08:19:34.771800Z
-43.1247, 171.086, 4.5877, 0.0, 2009-02-05T13:45:21.439400Z
-43.128, 171.081, 1.0026, 0.0, 2009-02-05T13:57:52.084600Z
-43.5233, 169.946, 1.22689, 0.0, 2009-02-06T15:04:02.470250Z
-42.9849, 171.429, 13.0449, 0.0, 2009-02-06T15:39:17.281700Z
-43.1814, 170.835, 8.35566, 0.0, 2009-02-08T06:07:42.138600Z
-43.4535, 170.303, 3.0108099999999998, 0.0, 2009-02-08T13:09:23.094000Z
-43.1024, 171.438, 11.5819, 0.0, 2009-02-09T06:55:08.535810Z
-43.5258, 170.28, 12.720600000000001, 0.0, 2009-02-09T07:56:23.262100Z
-43.0618, 171.036, 7.96921, 0.0, 2009-02-09T19:01:13.723400Z
-42.897, 170.992, 4.722270000000001, 0.0, 2009-02-09T22:08:05.686260Z
-43.0973, 171.174, 4.622199999999999, 0.0, 2009-02-11T02:18:14.712100Z
-43.5583, 170.577, 12.41, 0.0, 2009-02-11T05:28:04.870320Z
-43.5256, 169.949, 2.04466, 0.0, 2009-02-11T09:04:13.308200Z
-43.5024, 170.275, 12.1202, 0.0, 2009-02-11T11:30:59.358100Z
-43.5707, 169.391, 25.9982, 0.0, 2009-02-11T12:34:32.855800Z
-43.1914, 170.828, 14.0007, 0.0, 2009-02-11T12:45:24.130400Z
-42.976, 171.448, 14.2319, 0.0, 2009-02-11T13:27:16.488300Z
-42.9654, 171.35, 1.00951, 0.0, 2009-02-11T13:54:15.585900Z
-43.1687, 170.843, 7.0030600000000005, 0.0, 2009-02-11T20:31:50.354700Z
-42.8862, 171.426, 0.00195312, 0.0, 2009-02-11T20:34:48.075500Z
-43.2316, 170.806, 7.831180000000001, 0.0, 2009-02-12T05:29:24.583000Z
-43.1872, 170.833, 8.23145, 0.0, 2009-02-13T04:12:17.414800Z
-43.021, 170.992, 7.99336, 0.0, 2009-02-13T07:56:43.613800Z
-43.1256, 170.898, 8.00371, 0.0, 2009-02-13T16:57:42.359000Z
-43.1255, 170.938, 8.00026, 0.0, 2009-02-13T21:59:08.380470Z
-43.3027, 170.925, 8.01061, 0.0, 2009-02-13T22:24:49.318400Z
-43.0125, 171.364, 12.8379, 0.0, 2009-02-13T23:14:38.990900Z
-43.0891, 171.396, 10.947, 0.0, 2009-02-13T23:37:18.747800Z
-43.0653, 170.956, 4.77747, 0.0, 2009-02-14T07:32:11.096000Z
-43.6122, 170.087, 10.0016, 0.0, 2009-02-14T07:54:31.631700Z
-43.0686, 171.067, 11.0022, 0.0, 2009-02-14T12:53:58.160900Z
-43.1718, 170.725, 8.997459999999998, 0.0, 2009-02-15T12:29:02.188390Z
-43.521, 170.348, 7.558590000000001, 0.0, 2009-02-15T12:52:05.049520Z
-43.5295, 169.955, 2.74857, 0.0, 2009-02-15T13:38:59.743500Z
